text,label
SHOCK CLAIM: CEO admits already humans AI smarter is and tech Major than hiding it,FAKE
URGENT: New law to seize property private starting allow all will government next month,FAKE
Miracle fruit cures diabetes overnight — pharmaceutical companies don't want you to know,FAKE
Tech giant faces antitrust investigation from European regulators over market practices,REAL
Scientists sequence genome of rare endangered species to assist conservation efforts,REAL
Study finds disease lower diet Mediterranean with associated heart risk of in older adults,REAL
"BREAKING: Entire covering government city overnight, up disappears the incident",FAKE
Annual report shows significant decline in workplace injuries following new safety regulations,REAL
New trade agreement expected to increase agricultural exports by 15 percent over five years,REAL
Scientist fired after contain and proving are chemtrails real that toxic chemicals,FAKE
EXPOSED: All major elections for the past 20 years have been rigged by elites,FAKE
Scientists report Antarctic ice sheet is melting faster than previously predicted models showed,REAL
International aid relief deliver to supplies organizations flood-affected regions,REAL
Scientists discover ancient giant humans that the history books have been hiding from us,FAKE
Researchers map brain activity patterns associated with decision-making and reward processing,REAL
Urban planners across parks connecting propose green corridor metropolitan area,REAL
BREAKING: Major earthquake deliberately triggered by secret military weapon system,FAKE
New bridge construction project to begin after years of planning and environmental review,REAL
"Government planning to replace police with robots to control citizens, insider says",FAKE
"BREAKING: Entire city disappears overnight, government covering up the incident",FAKE
Local school district launches new STEM program to improve student outcomes,REAL
Doctors HATE this one weird trick that cures cancer in 24 hours,FAKE
Scientists confirm ozone layer recovery is on track following international treaty,REAL
"They are population, fast to in birth reduce world control food putting whistleblower reveals",FAKE
Scientists confirm actually ice that getting is and age colder sun is the coming soon,FAKE
SHARE IMMEDIATELY: New tax will charge citizens for breathing outdoor air next year,FAKE
EXPOSED: Famous charity organization secretly funneling money to terrorist groups,FAKE
EXPOSED: All been elections past 20 have the for rigged major years by elites,FAKE
Local school improve district program new launches STEM to student outcomes,REAL
New legislation introduced to address growing concerns about data privacy online,REAL
Celebrity confirms: your contain to track microchips vaccines every move,FAKE
"BREAKING: Aliens have landed in Nevada, military is hiding the truth from the public",FAKE
"Ancient prophecy the end predicts the world this will of happen signs year, are clear",FAKE
"Famous billionaire takeover, world the secretly new funding order sources reveal",FAKE
Record voter turnout reported in local elections across several major cities,REAL
World Health Organization releases updated guidelines on antibiotic resistance prevention,REAL
Astronomers detect from stars waves 130 light neutron million merging gravitational years away,REAL
Global summit concludes of percent agreement on to biodiversity with land 30 protect by 2030,REAL
